date,datetime,cash_type,card,money,coffee_name,month,day,hour,total_sales,day_name,month_name,is_weekend
2024-03-09,2024-03-09 12:05:15.559,card,ANON-0000-0000-0038,24.0,Espresso,3,9,12,24.0,Saturday,March,True
2024-03-09,2024-03-09 12:07:38.275,card,ANON-0000-0000-0039,28.9,Americano,3,9,12,28.9,Saturday,March,True
2024-03-09,2024-03-09 12:09:47.714,card,ANON-0000-0000-0012,38.7,Cappuccino,3,9,12,38.7,Saturday,March,True
2024-03-09,2024-03-09 12:13:03.521,card,ANON-0000-0000-0040,28.9,Americano,3,9,12,28.9,Saturday,March,True
2024-03-09,2024-03-09 12:14:26.458,card,ANON-0000-0000-0040,28.9,Americano,3,9,12,28.9,Saturday,March,True
2024-03-09,2024-03-09 13:09:22.229,card,ANON-0000-0000-0041,38.7,Latte,3,9,13,38.7,Saturday,March,True
2024-03-09,2024-03-09 13:41:06.167,card,ANON-0000-0000-0042,33.8,Americano with Milk,3,9,13,33.8,Saturday,March,True
2024-03-09,2024-03-09 13:53:10.408,card,ANON-0000-0000-0043,28.9,Cortado,3,9,13,28.9,Saturday,March,True
2024-03-09,2024-03-09 13:54:36.828,card,ANON-0000-0000-0043,38.7,Cappuccino,3,9,13,38.7,Saturday,March,True
2024-03-09,2024-03-09 14:08:01.829,card,ANON-0000-0000-0009,33.8,Americano with Milk,3,9,14,33.8,Saturday,March,True
2024-03-09,2024-03-09 14:26:52.873,card,ANON-0000-0000-0044,38.7,Hot Chocolate,3,9,14,38.7,Saturday,March,True
2024-03-09,2024-03-09 19:17:57.572,card,ANON-0000-0000-0009,38.7,Cappuccino,3,9,19,38.7,Saturday,March,True
2024-03-09,2024-03-09 19:19:10.084,card,ANON-0000-0000-0009,38.7,Hot Chocolate,3,9,19,38.7,Saturday,March,True
2024-03-10,2024-03-10 11:19:20.764,card,ANON-0000-0000-0045,24.0,Espresso,3,10,11,24.0,Sunday,March,True
2024-03-10,2024-03-10 19:34:00.478,card,ANON-0000-0000-0046,38.7,Latte,3,10,19,38.7,Sunday,March,True
2024-03-10,2024-03-10 19:35:54.712,card,ANON-0000-0000-0046,28.9,Cortado,3,10,19,28.9,Sunday,March,True
2024-03-11,2024-03-11 11:32:58.781,card,ANON-0000-0000-0035,38.7,Cappuccino,3,11,11,38.7,Monday,March,False
2024-03-11,2024-03-11 16:24:26.401,card,ANON-0000-0000-0047,28.9,Americano,3,11,16,28.9,Monday,March,False
2024-03-11,2024-03-11 16:25:45.664,card,ANON-0000-0000-0047,38.7,Latte,3,11,16,38.7,Monday,March,False
2024-03-11,2024-03-11 16:50:49.608,card,ANON-0000-0000-0048,28.9,Cortado,3,11,16,28.9,Monday,March,False
2024-03-12,2024-03-12 10:15:34.543,card,ANON-0000-0000-0033,28.9,Americano,3,12,10,28.9,Tuesday,March,False
2024-03-12,2024-03-12 10:16:24.886,card,ANON-0000-0000-0033,28.9,Cortado,3,12,10,28.9,Tuesday,March,False
2024-03-12,2024-03-12 11:20:45.632,card,ANON-0000-0000-0049,38.7,Hot Chocolate,3,12,11,38.7,Tuesday,March,False
2024-03-12,2024-03-12 12:46:23.275,card,ANON-0000-0000-0004,33.8,Americano with Milk,3,12,12,33.8,Tuesday,March,False
2024-03-12,2024-03-12 12:47:26.027,card,ANON-0000-0000-0004,28.9,Americano,3,12,12,28.9,Tuesday,March,False
2024-03-12,2024-03-12 16:15:43.325,card,ANON-0000-0000-0050,28.9,Americano,3,12,16,28.9,Tuesday,March,False
2024-03-13,2024-03-13 11:06:43.038,card,ANON-0000-0000-0048,38.7,Hot Chocolate,3,13,11,38.7,Wednesday,March,False
2024-03-13,2024-03-13 11:48:16.753,card,ANON-0000-0000-0004,28.9,Americano,3,13,11,28.9,Wednesday,March,False
2024-03-13,2024-03-13 12:18:06.336,card,ANON-0000-0000-0051,28.9,Americano,3,13,12,28.9,Wednesday,March,False
2024-03-13,2024-03-13 12:19:05.128,card,ANON-0000-0000-0051,28.9,Americano,3,13,12,28.9,Wednesday,March,False
2024-03-13,2024-03-13 14:26:40.875,card,ANON-0000-0000-0052,33.8,Americano with Milk,3,13,14,33.8,Wednesday,March,False
2024-03-13,2024-03-13 15:40:22.261,card,ANON-0000-0000-0053,24.0,Espresso,3,13,15,24.0,Wednesday,March,False
2024-03-13,2024-03-13 15:41:20.424,card,ANON-0000-0000-0053,24.0,Espresso,3,13,15,24.0,Wednesday,March,False
2024-03-13,2024-03-13 16:47:09.373,card,ANON-0000-0000-0054,24.0,Espresso,3,13,16,24.0,Wednesday,March,False
2024-03-14,2024-03-14 10:28:33.017,card,ANON-0000-0000-0055,38.7,Latte,3,14,10,38.7,Thursday,March,False
2024-03-14,2024-03-14 10:29:34.283,card,ANON-0000-0000-0055,38.7,Hot Chocolate,3,14,10,38.7,Thursday,March,False
2024-03-14,2024-03-14 13:27:29.536,card,ANON-0000-0000-0012,28.9,Cortado,3,14,13,28.9,Thursday,March,False
2024-03-14,2024-03-14 13:28:24.527,card,ANON-0000-0000-0012,28.9,Americano,3,14,13,28.9,Thursday,March,False
2024-03-14,2024-03-14 13:51:59.905,card,ANON-0000-0000-0056,33.8,Americano with Milk,3,14,13,33.8,Thursday,March,False
2024-03-14,2024-03-14 13:52:56.248,card,ANON-0000-0000-0057,24.0,Espresso,3,14,13,24.0,Thursday,March,False
2024-03-14,2024-03-14 15:20:38.367,card,ANON-0000-0000-0058,38.7,Latte,3,14,15,38.7,Thursday,March,False
2024-03-14,2024-03-14 16:04:09.506,card,ANON-0000-0000-0059,33.8,Americano with Milk,3,14,16,33.8,Thursday,March,False
2024-03-14,2024-03-14 16:54:38.202,card,ANON-0000-0000-0050,24.0,Espresso,3,14,16,24.0,Thursday,March,False
2024-03-14,2024-03-14 18:58:55.854,card,ANON-0000-0000-0019,38.7,Hot Chocolate,3,14,18,38.7,Thursday,March,False
2024-03-14,2024-03-14 19:00:08.663,card,ANON-0000-0000-0012,28.9,Cortado,3,14,19,28.9,Thursday,March,False
2024-03-15,2024-03-15 10:53:02.180,card,ANON-0000-0000-0060,38.7,Hot Chocolate,3,15,10,38.7,Friday,March,False
2024-03-15,2024-03-15 18:19:27.922,card,ANON-0000-0000-0012,28.9,Americano,3,15,18,28.9,Friday,March,False
2024-03-16,2024-03-16 12:06:55.209,card,ANON-0000-0000-0061,33.8,Americano with Milk,3,16,12,33.8,Saturday,March,True
2024-03-16,2024-03-16 12:07:53.915,card,ANON-0000-0000-0061,28.9,Americano,3,16,12,28.9,Saturday,March,True
2024-03-16,2024-03-16 15:58:18.458,card,ANON-0000-0000-0009,28.9,Cortado,3,16,15,28.9,Saturday,March,True
2024-03-16,2024-03-16 16:03:21.738,card,ANON-0000-0000-0009,28.9,Cortado,3,16,16,28.9,Saturday,March,True
2024-03-16,2024-03-16 16:04:11.444,card,ANON-0000-0000-0012,28.9,Cortado,3,16,16,28.9,Saturday,March,True
2024-03-16,2024-03-16 17:58:07.241,card,ANON-0000-0000-0062,33.8,Americano with Milk,3,16,17,33.8,Saturday,March,True
2024-03-17,2024-03-17 12:55:26.065,card,ANON-0000-0000-0063,28.9,Cortado,3,17,12,28.9,Sunday,March,True
2024-03-18,2024-03-18 11:17:59.671,card,ANON-0000-0000-0064,28.9,Cortado,3,18,11,28.9,Monday,March,False
2024-03-18,2024-03-18 15:31:39.725,card,ANON-0000-0000-0003,28.9,Americano,3,18,15,28.9,Monday,March,False
2024-03-18,2024-03-18 15:32:38.239,card,ANON-0000-0000-0003,28.9,Americano,3,18,15,28.9,Monday,March,False
2024-03-18,2024-03-18 15:33:36.708,card,ANON-0000-0000-0003,28.9,Americano,3,18,15,28.9,Monday,March,False
2024-03-19,2024-03-19 14:02:21.536,card,ANON-0000-0000-0065,38.7,Latte,3,19,14,38.7,Tuesday,March,False
2024-03-19,2024-03-19 14:03:19.765,card,ANON-0000-0000-0065,38.7,Latte,3,19,14,38.7,Tuesday,March,False
2024-03-19,2024-03-19 15:04:36.309,card,ANON-0000-0000-0049,38.7,Hot Chocolate,3,19,15,38.7,Tuesday,March,False
2024-03-19,2024-03-19 16:53:48.706,card,ANON-0000-0000-0066,33.8,Americano with Milk,3,19,16,33.8,Tuesday,March,False
2024-03-20,2024-03-20 11:41:16.403,card,ANON-0000-0000-0012,28.9,Cortado,3,20,11,28.9,Wednesday,March,False
2024-03-20,2024-03-20 12:30:48.968,card,ANON-0000-0000-0049,28.9,Cortado,3,20,12,28.9,Wednesday,March,False
2024-03-20,2024-03-20 13:16:47.394,card,ANON-0000-0000-0067,38.7,Cappuccino,3,20,13,38.7,Wednesday,March,False
2024-03-20,2024-03-20 16:42:38.117,card,ANON-0000-0000-0050,38.7,Cocoa,3,20,16,38.7,Wednesday,March,False
2024-03-20,2024-03-20 17:50:28.781,card,ANON-0000-0000-0068,38.7,Latte,3,20,17,38.7,Wednesday,March,False
2024-03-21,2024-03-21 12:25:09.194,card,ANON-0000-0000-0012,28.9,Cortado,3,21,12,28.9,Thursday,March,False
2024-03-21,2024-03-21 12:26:17.428,card,ANON-0000-0000-0012,38.7,Cappuccino,3,21,12,38.7,Thursday,March,False
2024-03-21,2024-03-21 17:22:01.353,card,ANON-0000-0000-0012,28.9,Cortado,3,21,17,28.9,Thursday,March,False
2024-03-21,2024-03-21 19:20:36.508,card,ANON-0000-0000-0069,38.7,Latte,3,21,19,38.7,Thursday,March,False
2024-03-22,2024-03-22 10:35:53.619,card,ANON-0000-0000-0070,33.8,Americano with Milk,3,22,10,33.8,Friday,March,False
2024-03-22,2024-03-22 13:29:20.343,card,ANON-0000-0000-0071,33.8,Americano with Milk,3,22,13,33.8,Friday,March,False
2024-03-22,2024-03-22 17:17:03.724,card,ANON-0000-0000-0012,28.9,Americano,3,22,17,28.9,Friday,March,False
2024-03-22,2024-03-22 17:17:58.991,card,ANON-0000-0000-0012,24.0,Espresso,3,22,17,24.0,Friday,March,False
2024-03-22,2024-03-22 17:20:49.490,card,ANON-0000-0000-0050,28.9,Americano,3,22,17,28.9,Friday,March,False
2024-03-23,2024-03-23 10:43:59.559,card,ANON-0000-0000-0072,38.7,Latte,3,23,10,38.7,Saturday,March,True
2024-03-23,2024-03-23 10:45:07.157,card,ANON-0000-0000-0073,33.8,Americano with Milk,3,23,10,33.8,Saturday,March,True
2024-03-23,2024-03-23 13:10:07.661,card,ANON-0000-0000-0074,38.7,Cappuccino,3,23,13,38.7,Saturday,March,True
2024-03-23,2024-03-23 13:11:12.230,card,ANON-0000-0000-0074,38.7,Cocoa,3,23,13,38.7,Saturday,March,True
2024-03-23,2024-03-23 14:44:41.276,card,ANON-0000-0000-0075,33.8,Americano with Milk,3,23,14,33.8,Saturday,March,True
2024-03-23,2024-03-23 15:47:19.062,card,ANON-0000-0000-0076,38.7,Latte,3,23,15,38.7,Saturday,March,True
2024-03-23,2024-03-23 15:49:33.813,card,ANON-0000-0000-0076,33.8,Americano with Milk,3,23,15,33.8,Saturday,March,True
2024-03-23,2024-03-23 16:00:58.386,card,ANON-0000-0000-0009,28.9,Cortado,3,23,16,28.9,Saturday,March,True
2024-03-24,2024-03-24 18:45:08.397,card,ANON-0000-0000-0077,38.7,Latte,3,24,18,38.7,Sunday,March,True
2024-03-25,2024-03-25 10:31:47.250,card,ANON-0000-0000-0009,38.7,Latte,3,25,10,38.7,Monday,March,False
2024-03-25,2024-03-25 14:27:09.163,card,ANON-0000-0000-0078,38.7,Latte,3,25,14,38.7,Monday,March,False
2024-03-25,2024-03-25 14:29:25.343,card,ANON-0000-0000-0017,38.7,Latte,3,25,14,38.7,Monday,March,False
2024-03-25,2024-03-25 18:37:30.650,card,ANON-0000-0000-0024,33.8,Americano with Milk,3,25,18,33.8,Monday,March,False
2024-03-25,2024-03-25 19:34:24.542,card,ANON-0000-0000-0079,38.7,Cappuccino,3,25,19,38.7,Monday,March,False
2024-03-26,2024-03-26 10:35:49.679,card,ANON-0000-0000-0055,38.7,Cocoa,3,26,10,38.7,Tuesday,March,False
2024-03-26,2024-03-26 10:36:36.151,card,ANON-0000-0000-0055,38.7,Latte,3,26,10,38.7,Tuesday,March,False
2024-03-26,2024-03-26 10:42:30.170,card,ANON-0000-0000-0080,38.7,Latte,3,26,10,38.7,Tuesday,March,False
2024-03-26,2024-03-26 11:11:47.335,card,ANON-0000-0000-0009,28.9,Cortado,3,26,11,28.9,Tuesday,March,False
2024-03-26,2024-03-26 13:35:52.773,card,ANON-0000-0000-0003,28.9,Americano,3,26,13,28.9,Tuesday,March,False
2024-03-26,2024-03-26 13:36:49.644,card,ANON-0000-0000-0032,28.9,Cortado,3,26,13,28.9,Tuesday,March,False
2024-03-26,2024-03-26 13:37:59.723,card,ANON-0000-0000-0059,28.9,Cortado,3,26,13,28.9,Tuesday,March,False
2024-03-26,2024-03-26 13:57:53.677,card,ANON-0000-0000-0050,28.9,Americano,3,26,13,28.9,Tuesday,March,False
2024-03-26,2024-03-26 15:48:02.270,card,ANON-0000-0000-0081,38.7,Latte,3,26,15,38.7,Tuesday,March,False
2024-03-26,2024-03-26 18:33:38.568,card,ANON-0000-0000-0024,38.7,Latte,3,26,18,38.7,Tuesday,March,False
2024-03-26,2024-03-26 18:34:54.648,card,ANON-0000-0000-0009,38.7,Hot Chocolate,3,26,18,38.7,Tuesday,March,False
2024-03-27,2024-03-27 11:04:51.174,card,ANON-0000-0000-0003,28.9,Cortado,3,27,11,28.9,Wednesday,March,False
2024-03-27,2024-03-27 11:05:58.236,card,ANON-0000-0000-0003,33.8,Americano with Milk,3,27,11,33.8,Wednesday,March,False
2024-03-27,2024-03-27 12:57:00.462,card,ANON-0000-0000-0082,33.8,Americano with Milk,3,27,12,33.8,Wednesday,March,False
2024-03-27,2024-03-27 13:35:20.039,card,ANON-0000-0000-0083,38.7,Hot Chocolate,3,27,13,38.7,Wednesday,March,False
2024-03-27,2024-03-27 14:22:31.662,card,ANON-0000-0000-0012,38.7,Cappuccino,3,27,14,38.7,Wednesday,March,False
2024-03-27,2024-03-27 14:23:35.380,card,ANON-0000-0000-0012,28.9,Americano,3,27,14,28.9,Wednesday,March,False
2024-03-27,2024-03-27 18:30:11.833,card,ANON-0000-0000-0084,28.9,Cortado,3,27,18,28.9,Wednesday,March,False
2024-03-28,2024-03-28 14:24:47.092,card,ANON-0000-0000-0085,28.9,Cortado,3,28,14,28.9,Thursday,March,False
2024-03-28,2024-03-28 17:24:46.244,card,ANON-0000-0000-0012,28.9,Cortado,3,28,17,28.9,Thursday,March,False
2024-03-28,2024-03-28 17:27:05.304,card,ANON-0000-0000-0012,28.9,Americano,3,28,17,28.9,Thursday,March,False
2024-03-28,2024-03-28 17:32:44.652,card,ANON-0000-0000-0086,38.7,Latte,3,28,17,38.7,Thursday,March,False
2024-03-29,2024-03-29 10:56:19.495,card,ANON-0000-0000-0087,38.7,Latte,3,29,10,38.7,Friday,March,False
2024-03-29,2024-03-29 12:34:17.383,card,ANON-0000-0000-0088,38.7,Cappuccino,3,29,12,38.7,Friday,March,False
2024-03-29,2024-03-29 12:41:32.125,card,ANON-0000-0000-0088,38.7,Cappuccino,3,29,12,38.7,Friday,March,False
2024-03-30,2024-03-30 11:59:19.854,card,ANON-0000-0000-0069,38.7,Latte,3,30,11,38.7,Saturday,March,True
2024-03-30,2024-03-30 16:12:31.786,card,ANON-0000-0000-0017,38.7,Latte,3,30,16,38.7,Saturday,March,True
2024-03-30,2024-03-30 16:36:40.513,card,ANON-0000-0000-0009,38.7,Latte,3,30,16,38.7,Saturday,March,True
2024-03-30,2024-03-30 16:37:57.553,card,ANON-0000-0000-0009,33.8,Americano with Milk,3,30,16,33.8,Saturday,March,True
2024-03-31,2024-03-31 10:40:04.523,card,ANON-0000-0000-0089,38.7,Cappuccino,3,31,10,38.7,Sunday,March,True
2024-04-01,2024-04-01 10:28:47.601,card,ANON-0000-0000-0004,28.9,Americano,4,1,10,28.9,Monday,April,False
2024-04-01,2024-04-01 10:29:42.318,card,ANON-0000-0000-0004,33.8,Americano with Milk,4,1,10,33.8,Monday,April,False
2024-04-01,2024-04-01 10:30:43.735,card,ANON-0000-0000-0004,33.8,Americano with Milk,4,1,10,33.8,Monday,April,False
2024-04-01,2024-04-01 11:15:43.836,card,ANON-0000-0000-0009,33.8,Americano with Milk,4,1,11,33.8,Monday,April,False
2024-04-01,2024-04-01 18:18:42.372,card,ANON-0000-0000-0024,33.8,Americano with Milk,4,1,18,33.8,Monday,April,False
2024-04-01,2024-04-01 18:45:27.436,card,ANON-0000-0000-0090,38.7,Hot Chocolate,4,1,18,38.7,Monday,April,False
2024-04-02,2024-04-02 10:01:14.022,card,ANON-0000-0000-0001,38.7,Latte,4,2,10,38.7,Tuesday,April,False
2024-04-02,2024-04-02 16:18:34.169,card,ANON-0000-0000-0003,28.9,Americano,4,2,16,28.9,Tuesday,April,False
2024-04-02,2024-04-02 16:19:28.460,card,ANON-0000-0000-0003,28.9,Cortado,4,2,16,28.9,Tuesday,April,False
2024-04-03,2024-04-03 10:19:13.644,card,ANON-0000-0000-0003,28.9,Cortado,4,3,10,28.9,Wednesday,April,False
2024-04-03,2024-04-03 10:20:07.655,card,ANON-0000-0000-0003,28.9,Americano,4,3,10,28.9,Wednesday,April,False
2024-04-03,2024-04-03 13:12:05.367,card,ANON-0000-0000-0012,38.7,Cappuccino,4,3,13,38.7,Wednesday,April,False
2024-04-04,2024-04-04 10:44:55.988,card,ANON-0000-0000-0091,38.7,Latte,4,4,10,38.7,Thursday,April,False
2024-04-04,2024-04-04 11:26:38.085,card,ANON-0000-0000-0092,38.7,Latte,4,4,11,38.7,Thursday,April,False
2024-04-04,2024-04-04 11:27:48.411,card,ANON-0000-0000-0093,38.7,Cappuccino,4,4,11,38.7,Thursday,April,False
2024-04-04,2024-04-04 12:23:02.216,card,ANON-0000-0000-0094,28.9,Cortado,4,4,12,28.9,Thursday,April,False
2024-04-05,2024-04-05 10:40:42.728,card,ANON-0000-0000-0095,28.9,Americano,4,5,10,28.9,Friday,April,False
2024-04-05,2024-04-05 10:42:06.204,card,ANON-0000-0000-0012,28.9,Americano,4,5,10,28.9,Friday,April,False
2024-04-05,2024-04-05 11:06:14.643,card,ANON-0000-0000-0096,28.9,Cortado,4,5,11,28.9,Friday,April,False
2024-04-05,2024-04-05 12:14:27.975,card,ANON-0000-0000-0097,33.8,Americano with Milk,4,5,12,33.8,Friday,April,False
2024-04-05,2024-04-05 14:23:40.387,card,ANON-0000-0000-0098,38.7,Latte,4,5,14,38.7,Friday,April,False
2024-04-05,2024-04-05 14:24:50.417,card,ANON-0000-0000-0098,28.9,Cortado,4,5,14,28.9,Friday,April,False
2024-04-05,2024-04-05 16:18:23.558,card,ANON-0000-0000-0003,24.0,Espresso,4,5,16,24.0,Friday,April,False
2024-04-06,2024-04-06 12:32:31.398,card,ANON-0000-0000-0099,33.8,Americano with Milk,4,6,12,33.8,Saturday,April,True
2024-04-06,2024-04-06 14:13:18.733,card,ANON-0000-0000-0040,38.7,Cappuccino,4,6,14,38.7,Saturday,April,True
2024-04-06,2024-04-06 14:14:27.029,card,ANON-0000-0000-0040,28.9,Americano,4,6,14,28.9,Saturday,April,True
2024-04-06,2024-04-06 14:49:50.183,card,ANON-0000-0000-0009,38.7,Latte,4,6,14,38.7,Saturday,April,True
2024-04-07,2024-04-07 10:12:53.204,card,ANON-0000-0000-0091,38.7,Latte,4,7,10,38.7,Sunday,April,True
2024-04-07,2024-04-07 12:44:31.936,card,ANON-0000-0000-0040,38.7,Cappuccino,4,7,12,38.7,Sunday,April,True
2024-04-07,2024-04-07 12:46:05.118,card,ANON-0000-0000-0040,38.7,Cappuccino,4,7,12,38.7,Sunday,April,True
2024-04-07,2024-04-07 14:16:24.949,card,ANON-0000-0000-0100,28.9,Cortado,4,7,14,28.9,Sunday,April,True
2024-04-07,2024-04-07 14:17:30.628,card,ANON-0000-0000-0100,24.0,Espresso,4,7,14,24.0,Sunday,April,True
2024-04-07,2024-04-07 18:01:16.608,card,ANON-0000-0000-0101,38.7,Hot Chocolate,4,7,18,38.7,Sunday,April,True
2024-04-07,2024-04-07 18:02:03.878,card,ANON-0000-0000-0101,33.8,Americano with Milk,4,7,18,33.8,Sunday,April,True
2024-04-08,2024-04-08 10:58:21.106,card,ANON-0000-0000-0102,33.8,Americano with Milk,4,8,10,33.8,Monday,April,False
2024-04-08,2024-04-08 10:59:27.558,card,ANON-0000-0000-0103,38.7,Cappuccino,4,8,10,38.7,Monday,April,False
